"_id","_index","_score","_type","书名","作者","出版日期","出版社","售价","译者","链接"
fdJKc3EBZhrcTXFrDuNh,"douban_book_top250",0,"_doc","鹿鼎记（全五册）","金庸","2008-3","广州出版社 花城出版社","108.00元","-","https://book.douban.com/subject/1212893/"
ftJKc3EBZhrcTXFrDuN2,"douban_book_top250",0,"_doc","梦里花落知多少","三毛","2007-6","北京十月文艺出版社","28.00元","-","https://book.douban.com/subject/2070844/"
f9JKc3EBZhrcTXFrDuON,"douban_book_top250",0,"_doc","唐诗三百首","蘅塘退士","1998-1-1","中华书局","0.65","-","https://book.douban.com/subject/1013267/"
gNJKc3EBZhrcTXFrDuOj,"douban_book_top250",0,"_doc","朝花夕拾","鲁迅","1972年4月","人民文学出版社","0.25元","-","https://book.douban.com/subject/1449352/"
gdJKc3EBZhrcTXFrDuO4,"douban_book_top250",0,"_doc","人生的枷锁","[英] 毛姆","2007-3","上海译文出版社","32.00元","张柏然","https://book.douban.com/subject/2035171/"
gtJKc3EBZhrcTXFrDuPO,"douban_book_top250",0,"_doc","斯通纳","[美] 约翰·威廉斯","2016-1","上海人民出版社","39.00元","杨向荣","https://book.douban.com/subject/26425831/"
g9JKc3EBZhrcTXFrDuPk,"douban_book_top250",0,"_doc","你当像鸟飞往你的山","[美] 塔拉·韦斯特弗","2019-10-20","南海出版公司","59.00元","任爱红","https://book.douban.com/subject/33440205/"
hNJKc3EBZhrcTXFrDuP5,"douban_book_top250",0,"_doc","边城","沈从文","2002-4","北岳文艺出版社","12.00元","-","https://book.douban.com/subject/1057244/"
"hdJKc3EBZhrcTXFrD-MP","douban_book_top250",0,"_doc","时间简史:插图本","[英] 史蒂芬·霍金","2010-4","湖南科学技术出版社","45.00元","许明贤","https://book.douban.com/subject/1034282/"
"htJKc3EBZhrcTXFrD-Ml","douban_book_top250",0,"_doc","罗杰疑案","[英] 阿加莎·克里斯蒂","2006-5","人民文学出版社","21.00元","张江云","https://book.douban.com/subject/1807516/"
"h9JKc3EBZhrcTXFrD-M6","douban_book_top250",0,"_doc","金色梦乡","[日] 伊坂幸太郎","2010-9","译林出版社","35.00元","李彦桦","https://book.douban.com/subject/5038409/"
"iNJKc3EBZhrcTXFrD-NY","douban_book_top250",0,"_doc","王尔德童话","[英] 王尔德","2003-6","译林出版社","6.00元","王林","https://book.douban.com/subject/1119839/"
"idJKc3EBZhrcTXFrD-Nu","douban_book_top250",0,"_doc","一个陌生女人的来信","[奥] 斯台芬·茨威格","2007-7","上海译文出版社","20.00元","张玉书","https://book.douban.com/subject/2154960/"
"itJKc3EBZhrcTXFrD-OD","douban_book_top250",0,"_doc","陆犯焉识","严歌苓","2011-10","作家出版社","35.00元","-","https://book.douban.com/subject/6880158/"
"i9JKc3EBZhrcTXFrD-OZ","douban_book_top250",0,"_doc","冬牧场","李娟","2012-6","新星出版社","29.80元","-","https://book.douban.com/subject/10522856/"
"jNJKc3EBZhrcTXFrD-Ot","douban_book_top250",0,"_doc","叫魂:1768年中国妖术大恐慌","[美] 孔飞力","2012-5","生活·读书·新知三联书店 上海三联书店","38.00元","陈兼","https://book.douban.com/subject/10471333/"
"jdJKc3EBZhrcTXFrD-PW","douban_book_top250",0,"_doc","人生的智慧","[德] 阿图尔·叔本华","2008-10","上海人民出版社","28.00元","韦启昌","https://book.douban.com/subject/3261600/"
"jtJKc3EBZhrcTXFrD-Pt","douban_book_top250",0,"_doc","美的历程","李泽厚","2009-1-1","生活·读书·新知三联书店","43.00元","-","https://book.douban.com/subject/3410718/"
j9JKc3EBZhrcTXFrEOMD,"douban_book_top250",0,"_doc","孩子你慢慢来","龙应台","2009-12-1","生活·读书·新知三联书店","28.00元","-","https://book.douban.com/subject/4207781/"
kNJKc3EBZhrcTXFrEOMY,"douban_book_top250",0,"_doc","國史大綱（上下）","錢穆","2013-8","商務印書館","76.00元","-","https://book.douban.com/subject/1046492/"
kdJKc3EBZhrcTXFrEOM0,"douban_book_top250",0,"_doc","史蒂夫·乔布斯传","[美] 沃尔特·艾萨克森","2011-10-24","中信出版社","68.00元","管延圻","https://book.douban.com/subject/6798611/"
ktJKc3EBZhrcTXFrEONJ,"douban_book_top250",0,"_doc","鼠疫","(法)阿尔贝·加缪","2013-8","上海译文出版社","34.00元","刘方","https://book.douban.com/subject/24257229/"
k9JKc3EBZhrcTXFrEONe,"douban_book_top250",0,"_doc","彷徨","鲁迅","1973年3月","人民文学出版社","0.37元","-","https://book.douban.com/subject/1449348/"
lNJKc3EBZhrcTXFrEONz,"douban_book_top250",0,"_doc","爱的艺术","[美] 艾·弗洛姆","2008-4","上海译文出版社","15.00元","李健鸣","https://book.douban.com/subject/3026879/"
ldJKc3EBZhrcTXFrEOOJ,"douban_book_top250",0,"_doc","苏菲的世界","[挪] 乔斯坦·贾德","2007-10","作家出版社","26.00元","萧宝森","https://book.douban.com/subject/2284311/"
ltJKc3EBZhrcTXFrEOOd,"douban_book_top250",0,"_doc","野草","鲁迅","1973-3","人民文学出版社","0.20元","-","https://book.douban.com/subject/1915958/"
l9JKc3EBZhrcTXFrEOOw,"douban_book_top250",0,"_doc","九州·缥缈录","江南","2015-10","人民文学出版社","198.00元","-","https://book.douban.com/subject/26613061/"
